#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-04-06T05:36:03 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e8abf0a9c6a	
#INFO	-out.max=99999	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=99999
#-nav=cat:J/A+A/530/A138&tab:{J/A+A/530/A138/catalog}&key:source=J/A+A/530/A138&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/530/A138/catalog
#-order=I
#-out=HIP
#-out=Name
#H09=H09
#-out=logg
#-out=Teff
#-out=e_Teff
#-out=[Fe/H]
#-out=RAJ2000
#-out=DEJ2000
#
#RESOURCE=yCat_35300138
#Name: J/A+A/530/A138
#Title: Geneva-Copenhagen survey re-analysis (Casagrande+, 2011)
#Table	J_A_A_530_A138_catalog:
#Name: J/A+A/530/A138/catalog
#Title: *Stellar parameters
#Column	HIP	(I6)	? Hipparcos number (2) [NULL integer written as an empty string]	[ucd=meta.id;meta.main]
#Column	Name	(a12)	Other name (3)	[ucd=meta.id]
#Column	logg	(F5.2)	? Surface gravity (5)	[ucd=phys.gravity]
#Column	Teff	(F5)	? Effective temperature (6)	[ucd=phys.temperature.effective]
#Column	e_Teff	(F5)	? Teff error (7)	[ucd=stat.error;phys.temperature.effective]
#Column	[Fe/H]	(F5.2)	? Metallicity	[ucd=phys.abund.Z]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#HIP;Name;logg;Teff;e_Teff;[Fe/H];RAJ2000;DEJ2000
# ; ;[cm/s2];K;K;[Sun];"h:m:s";"d:m:s"
# Note: Values for Sun from Prsa et al. 2016, IAU defined values.
#------;------------;-----;-----;-----;-----;----------;---------
  2185;HD 2405     ; 4.04; 7169;  110;-0.34;00 27 37.6;-41 22 55
  2305;HD 2550     ; 4.11; 5745;   75; 0.09;00 29 23.5;+40 50 30
  2314;HD 2564     ; 3.96; 6226;  121; 0.36;00 29 31.1;+24 52 51
  2292;HD 2567     ; 4.27; 6095;   71; 0.18;00 29 16.1;-05 54 37
  2336;HD 2611     ; 3.96; 6238;   94; 0.07;00 29 51.6;+38 19 26
  2319;HD 2615     ; 4.05; 6366;   74;-0.52;00 29 34.8;-32 34 08
  2343;HD 2629     ; 4.14; 6784;  106;-0.23;00 29 55.3;-01 07 03
  2453;HD 2663     ; 4.37; 6143;   66;-0.49;00 31 12.9;+69 47 06
  2386;HD 2694     ; 4.22; 6274;   88;-0.26;00 30 26.7;-15 54 54
  2403;HD 2719     ; 3.84; 6328;   72; 0.03;00 30 38.1;-18 37 15
  2434;HD 2730     ; 4.00; 6140;   75;-0.16;00 31 01.6;+43 22 26
  2451;HD 2783     ; 3.86; 6799;   87;-0.02;00 31 12.0;-21 21 04
  2512;HD 2827     ; 3.75; 6113;   98; 0.13;00 31 51.0;+18 06 19
  2504;HD 2882     ; 4.50; 5477;   68;-0.09;00 31 44.4;-53 28 48
  2544;HD 2916     ; 4.15; 6829;   94;-0.18;00 32 22.1;-24 38 46
  2597;HD 2953     ; 4.05; 6709;  106;-0.16;00 32 59.3;+18 23 42
  2712;HD 3079     ; 4.29; 6084;   74;-0.18;00 34 29.7;+47 54 55
  2696;HD 3087     ; 4.12; 6872;  116;-0.18;00 34 12.5;+14 30 56
  2688;HD 3089     ; 3.80; 6484;   80;-0.28;00 34 08.3;+05 57 28
  2673;HD 3092     ; 4.15; 6341;   77;-0.14;00 33 52.9;-39 14 44
  2742;HD 3141     ; 4.50; 5199;   61; 0.14;00 35 00.8;+42 41 41
  2760;HD 3149     ; 4.19; 5907;   65;-0.07;00 35 13.7;+51 50 17
  3006;HD 3161     ; 4.31; 6168;  100;-0.10;00 38 14.5;+84 40 29
  2787;HD 3229     ; 3.81; 6501;   95;-0.22;00 35 32.8;-00 30 20
  2815;HD 3255     ; 3.85; 6414;   84;-0.22;00 35 50.1;+16 34 10
  2832;HD 3268     ; 4.13; 6277;   90;-0.14;00 35 54.8;+13 12 25
  2847;HD 3294     ; 4.36; 6176;  124; 0.07;00 36 03.6;+07 09 21
  2843;HD 3296     ; 4.23; 6490;   87; 0.00;00 36 01.8;-05 34 14
  2857;HD 3338     ; 4.07; 7073;  128;-0.31;00 36 12.0;-26 45 37
  2885;HD 3349     ; 4.37; 6450;  108;-0.16;00 36 33.1;+13 16 22
  2896;HD 3370     ; 3.88; 6607;   84;-0.08;00 36 43.7;+27 03 08
  2841;HD 3375     ; 4.30; 7164;  113;-0.20;00 36 00.8;-59 43 02
  2918;HD 3398     ; 3.77; 6504;   74;-0.03;00 36 57.1;+05 24 45
  2939;HD 3459     ; 4.01; 5795;   83; 0.09;00 37 18.9;-35 25 12
  2976;HD 3506     ; 3.92; 6546;  139; 0.04;00 37 52.4;-16 40 19
  3014;HD 3532     ; 4.14; 6335;   98;-0.29;00 38 21.2;+19 42 18
  3012;HD 3560     ; 3.89; 6239;   86;-0.04;00 38 20.2;-32 02 06
  3035;HD 3581     ; 4.19; 6712;  128;-0.02;00 38 36.1;-23 35 57
  3020;HD 3598     ; 3.90; 6200;   66;-0.19;00 38 27.3;-45 54 04
  3001;HD 3611     ; 3.63; 5902;   90;-0.06;00 38 08.3;-66 02 34
  3060;HD 3621     ; 3.67; 6036;   69;-0.07;00 38 50.3;-18 52 05
  3136;HD 3637     ; 3.68; 6182;   76; 0.32;00 39 51.9;+63 13 39
  3090;HD 3652     ; 4.31; 6965;  115;-0.12;00 39 18.8;-01 58 03
  3041;HD 3658     ; 4.21; 6988;  168;-0.12;00 38 39.8;-56 55 56
  3119;HD 3674     ; 4.30; 6206;   81; 0.03;00 39 40.7;+11 31 56
  3115;HD 3685     ; 4.33; 6351;  111; 0.03;00 39 38.2;-03 04 59
  3010;HD 3689     ; 4.14; 6287;   87;-0.21;00 38 17.7;-73 57 45
  3122;HD 3708     ; 3.94; 6589;   95;-0.18;00 39 43.6;-11 09 02
  3164;HD 3726     ; 4.43; 6480;   73;-0.47;00 40 19.3;+26 39 58
  3142;HD 3735     ; 4.13; 6120;   81;-0.34;00 39 57.8;-33 57 41
  3127;HD 3737     ; 3.86; 5945;   96;-0.25;00 39 44.6;-41 39 34
  3206;HD 3765     ; 4.55; 5010;   46; 0.17;00 40 49.2;+40 11 13
  3169;HD 3770     ; 3.99; 6034;   94;-0.03;00 40 24.4;-07 39 24
  3214;HD 3790     ; 4.30; 6547;   75;-0.22;00 40 52.7;+31 06 59
  3181;HD 3808     ; 4.46; 5640;   76;-0.13;00 40 30.6;-27 16 34
  3204;HD 3835     ; 4.21; 6186;  101;-0.03;00 40 47.9;-27 22 31
  3236;HD 3861     ; 4.31; 6270;  117; 0.05;00 41 11.8;+09 21 18
  3262;HD 3884     ; 3.78; 6007;   92; 0.22;00 41 31.6;+12 57 33
  3210;HD 3888     ; 4.39; 6378;   83;-0.18;00 40 51.5;-53 12 35
  3272;HD 3894     ; 4.26; 6171;  103;-0.40;00 41 41.9;+20 08 13
  3293;HD 3914     ; 4.23; 6435;   78;-0.11;00 42 01.4;+40 41 17
  3311;HD 3964     ; 4.46; 5747;   62; 0.05;00 42 09.7;-03 03 22
  3288;HD 3979     ; 3.61; 7019;  106;-0.30;00 41 57.5;-43 07 29
  3318;HD 4025     ; 4.35; 6182;   85;-0.33;00 42 18.3;-45 33 04
  3399;HD 4086     ; 3.67; 6876;  113;-0.11;00 43 17.4;+02 03 13
  3407;HD 4094     ; 3.59; 6975;  111;-0.18;00 43 23.6;+02 35 02
  3391;HD 4113     ; 4.34; 5687;   83; 0.24;00 43 12.5;-37 58 57
  3404;HD 4140     ; 3.93; 6522;   91; 0.14;00 43 21.1;-47 59 22
  3479;HD 4208     ; 4.53; 5686;   73;-0.21;00 44 26.6;-26 30 56
  3483;HD 4219     ; 4.08; 6220;   98;-0.15;00 44 27.6;-13 24 56
  3641;HD 4295     ; 4.23; 6650;  108;-0.20;00 46 38.5;+69 19 31
  3527;HD 4304     ; 3.94; 6233;   69; 0.21;00 44 59.9;-53 42 53
  3451;HD 4309     ; 3.88; 6420;   68; 0.18;00 44 07.7;-74 15 55
  3597;HD 4322     ; 4.26; 6295;   91;-0.13;00 46 03.2;+40 48 32
  3662;HD 4406     ; 3.47; 5605;   65; 0.26;00 46 51.7;+46 21 49
  3601;HD 4557     ; 4.59; 5571;   79; 0.11;00 46 07.4;-71 13 46
  3730;HD 4568     ; 3.94; 6284;   64; 0.24;00 47 54.8;+20 55 31
  3706;HD 4572     ; 3.81; 5929;  118;-0.10;00 47 34.8;-25 23 41
  3734;HD 4607     ; 3.99; 6237;   71;-0.13;00 47 57.3;-09 20 47
  3777;HD 4649     ; 4.10; 5996;   57; 0.22;00 48 33.2;+00 22 55
  3805;HD 4653     ; 3.92; 7011;  154;-0.36;00 48 54.6;+32 55 28
  3859;HD 4702     ; 4.43; 6207;   86; 0.00;00 49 33.7;+38 12 17
  3802;HD 4738     ; 4.06; 6847;  132;-0.10;00 48 50.2;-48 35 37
  3850;HD 4747     ; 4.61; 5422;   75;-0.15;00 49 26.7;-23 12 44
  3897;HD 4756     ; 3.69; 6010;   60; 0.33;00 49 58.5;+34 58 27
  3780;HD 4766     ; 3.88; 6434;  129; 0.16;00 48 34.8;-67 31 54
  3832;HD 4785     ; 4.30; 6287;  107;-0.22;00 49 11.7;-53 46 27
  3935;HD 4856     ; 4.04; 6897;   93;-0.20;00 50 31.6;-05 18 50
  3470;HD 4863     ; 4.32; 6070;   73;-0.16;00 44 21.9;-85 53 29
  4005;HD 4903     ; 4.15; 6100;   60; 0.05;00 51 24.8;+32 39 25
  3979;HD 4915     ; 4.56; 5704;   84;-0.24;00 51 10.8;-05 02 21
  4056;HD 4979     ; 3.93; 6376;   81;-0.09;00 51 56.2;+04 03 37
  4036;HD 4982     ; 3.85; 6965;  102;-0.30;00 51 44.5;-06 06 00
  4010;HD 4989     ; 4.59; 5020;   63;-0.18;00 51 26.7;-43 35 26
  3961;HD 5028     ; 4.38; 6500;   82;-0.35;00 50 52.4;-71 09 05
  4103;HD 5035     ; 4.56; 5584;   57;-0.01;00 52 40.1;+31 27 33
  4087;HD 5036     ; 3.75; 6380;   70; 0.16;00 52 28.1;+21 24 35
  4077;HD 5056     ; 3.94; 6337;   89; 0.17;00 52 17.1;-13 54 21
  4073;HD 5057     ; 4.07; 6333;   73;-0.05;00 52 13.1;-21 06 28
  4057;HD 5062     ; 3.83; 7004;  101;-0.39;00 51 56.7;-42 38 35
  4127;HD 5065     ; 4.08; 5941;   55;-0.06;00 52 51.7;+40 14 44
  4093;HD 5078     ; 4.15; 6047;   76; 0.10;00 52 32.0;-20 59 46
  4046;HD 5080     ; 4.01; 6541;   89;-0.23;00 51 50.9;-56 34 40
  4202;HD 5117     ; 4.18; 7055;  126;-0.29;00 53 38.3;+45 49 04
  4171;HD 5119     ; 4.07; 6848;   95;-0.13;00 53 18.0;+19 45 59
  4243;HD 5224     ; 4.01; 6605;   75; 0.15;00 54 09.2;+20 04 47
  4236;HD 5271     ; 3.51; 6841;  102; 0.05;00 54 03.9;-32 20 05
  3911;HD 5278     ; 4.35; 6349;  105;-0.25;00 50 09.9;-83 44 38
  4301;HD 5308     ; 4.01; 6255;   74;-0.17;00 55 06.9;+23 24 58
  4261;HD 5311     ; 4.27; 6735;   86; 0.07;00 54 23.7;-48 56 54
  4393;HD 5372     ; 4.38; 5888;   54; 0.19;00 56 17.3;+52 29 28
  4333;HD 5376     ; 4.03; 6639;  120;-0.06;00 55 30.4;-12 33 08
  4256;HD 5379     ; 3.92; 6931;  125;-0.35;00 54 17.3;-69 05 12
  4311;HD 5388     ; 4.00; 6260;  103;-0.17;00 55 11.8;-47 24 21
  4374;HD 5435     ; 3.54; 6421;   91; 0.02;00 56 02.1;-03 44 16
  4380;HD 5442     ; 3.78; 6261;   87; 0.19;00 56 08.3;-08 01 24
  4376;HD 5444     ; 4.31; 6130;   78;-0.28;00 56 03.7;-20 42 06
  4385;HD 5453     ; 4.25; 6523;   85; 0.08;00 56 13.2;-07 34 38
  4414;HD 5486     ; 4.13; 6884;  109;-0.10;00 56 33.0;-14 39 54
  4324;HD 5488     ; 3.45; 6087;  129;-0.19;00 55 22.2;-68 37 40
  4392;HD 5510     ; 4.45; 6375;  106; 0.06;00 56 16.2;-42 40 42
  4453;HD 5520     ; 4.17; 6896;   93;-0.18;00 56 59.6;+00 27 09
  4704;HD 5534     ; 3.63; 6704;   95;-0.14;01 00 29.8;+80 32 43
  4462;HD 5591     ; 4.30; 6409;   90;-0.07;00 57 11.8;-36 26 06
  4504;HD 5600     ; 3.78; 6340;  101;-0.10;00 57 42.2;+02 05 37
  4566;HD 5651     ; 3.80; 6212;  103;-0.13;00 58 26.4;+24 31 19
  4613;HD 5703     ; 4.34; 6381;   73;-0.07;00 59 07.1;+39 37 07
  4637;HD 5728     ; 4.21; 6727;   87;-0.09;00 59 32.2;+48 57 58
  4966;HD 5817     ; 4.49; 5782;   76;-0.65;01 03 38.7;+82 06 02
  4708;HD 5892     ; 4.33; 6485;   98;-0.14;01 00 30.4;+07 21 13
  4702;HD 5911     ; 4.03; 5933;   74;-0.07;01 00 28.0;-19 23 21
  4816;HD 5915     ; 3.73; 6803;   87;-0.35;01 01 48.7;+63 36 20
  4747;HD 5975     ; 4.46; 6232;   75;-0.25;01 01 01.7;-04 38 54
  4812;HD 5982     ; 4.23; 6744;  117;-0.10;01 01 46.3;+47 42 18
  4904;HD 6047     ; 4.28; 6128;   58;-0.16;01 02 56.1;+64 50 10
  4857;HD 6060     ; 4.13; 6800;   93; 0.02;01 02 28.6;+48 29 25
  4815;HD 6067     ; 4.26; 5909;   63; 0.08;01 01 47.1;-19 25 09
  4833;HD 6103     ; 4.12; 6173;   73;-0.03;01 02 06.9;-19 40 10
  4807;HD 6106     ; 4.41; 6857;   83;-0.20;01 01 43.0;-46 12 56
  4772;HD 6107     ; 4.00; 5759;   69;-0.05;01 01 19.0;-60 51 36
  4893;HD 6133     ; 4.23; 6729;   93;-0.17;01 02 50.3;+26 17 57
  4878;HD 6152     ; 4.05; 6399;   97;-0.13;01 02 42.6;+09 07 58
  4830;HD 6168     ; 4.13; 6266;  116; 0.12;01 02 03.5;-49 39 25
  4957;HD 6212     ; 4.16; 6751;   85;-0.07;01 03 34.2;+26 18 42
  4989;HD 6225     ; 4.14; 6524;   70;-0.07;01 03 57.4;+48 51 40
  4892;HD 6234     ; 4.41; 5991;   63;-0.50;01 02 49.7;-37 18 58
  4882;HD 6236     ; 4.39; 6035;  124; 0.02;01 02 43.9;-47 17 15
  5016;HD 6250     ; 3.88; 6155;   61;-0.11;01 04 16.6;+54 12 15
  5106;HD 6312     ; 4.44; 5926;   71;-0.31;01 05 26.4;+63 43 16
  5078;HD 6338     ; 3.95; 6560;  108;-0.46;01 05 01.2;+43 16 24
  5073;HD 6374     ; 4.15; 6214;  125;-0.08;01 04 50.4;+07 02 45
  5068;HD 6412     ; 3.71; 6376;   87; 0.18;01 04 49.4;-20 43 56
  5054;HD 6434     ; 4.34; 5824;   67;-0.51;01 04 40.1;-39 29 17
  5063;HD 6444     ; 4.29; 7001;  110;-0.11;01 04 46.9;-43 03 50
  5118;HD 6491     ; 3.97; 6883;  114; 0.01;01 05 34.5;-26 57 18
  5099;HD 6493     ; 4.32; 6747;  100;-0.13;01 05 21.8;-40 16 12
  5176;HD 6512     ; 4.38; 5873;   57; 0.27;01 06 12.6;+13 15 09
  5199;HD 6544     ; 3.85; 6297;   73; 0.01;01 06 30.0;+19 24 23
  5189;HD 6558     ; 4.29; 6321;   91; 0.33;01 06 25.7;-00 44 58
  5207;HD 6566     ; 4.23; 6640;   94;-0.07;01 06 36.5;+13 53 04
  5271;HD 6583     ; 4.22; 6620;  101;-0.17;01 07 23.4;+48 03 14
  5269;HD 6585     ; 4.10; 6800;  102; 0.03;01 07 21.2;+43 31 24
  5183;HD 6594     ; 4.18; 6009;   88; 0.10;01 06 17.4;-34 47 51
  5319;HD 6680     ; 4.21; 6740;   92; 0.04;01 08 01.3;+32 00 43
  5309;HD 6696     ; 3.91; 6886;   97;-0.30;01 07 56.4;+17 24 44
  5335;HD 6715     ; 4.41; 5610;  106;-0.16;01 08 12.4;+21 58 37
  5301;HD 6718     ; 4.42; 5863;  124;-0.11;01 07 48.6;-08 14 01
  5357;HD 6758     ; 4.23; 6860;   97;-0.23;01 08 28.9;+17 39 13
  5292;HD 6768     ; 3.67; 6543;  107; 0.04;01 07 43.4;-43 47 28
